time,open,high,low,close,tick_volume,spread,real_volume
2025-09-17,3689.32,3707.42,3646.21,3659.79,89849,5,0
2025-09-18,3658.85,3672.9,3627.78,3644.31,101930,5,0
2025-09-19,3643.47,3685.18,3632.16,3685.07,86040,5,0
2025-09-22,3685.51,3748.74,3683.69,3746.63,96967,5,0
2025-09-23,3745.27,3791.18,3737.02,3764.02,94760,5,0
2025-09-24,3766.1,3779.21,3717.48,3735.85,90043,5,0
2025-09-25,3737.02,3761.62,3721.97,3749.05,105988,5,0
2025-09-26,3750.77,3783.8,3734.55,3760.53,102961,5,0
2025-09-29,3758.57,3834.06,3757.78,3833.76,110469,5,0
2025-09-30,3833.07,3871.66,3793.21,3858.23,97113,5,0
2025-10-01,3858.58,3895.34,3853.35,3865.49,94119,5,0
2025-10-02,3867.81,3896.82,3819.28,3856.19,89118,5,0
2025-10-03,3855.72,3891.61,3838.11,3886.38,89677,5,0
2025-10-06,3888.47,3969.82,3884.26,3960.95,103560,5,0
2025-10-07,3959.12,3990.99,3940.96,3984.23,99320,5,0
2025-10-08,3984.87,4059.25,3983.27,4041.33,114668,5,0
2025-10-09,4040.24,4057.93,3944.81,3975.91,106367,5,0
2025-10-10,3974.93,4022.28,3946.85,4012.37,110080,5,0
2025-10-13,4003.2,4117.01,4003.2,4110.36,122069,5,0
2025-10-14,4110.21,4179.6,4090.64,4142.09,131073,5,0
2025-10-15,4143.59,4218.12,4140.73,4208.06,116519,5,0
2025-10-16,4208.26,4330.39,4199.79,4325.87,119783,5,0
2025-10-17,4329.76,4379.18,4186.45,4252.63,144463,5,0
2025-10-20,4247.6,4381.53,4219.03,4356.25,113093,5,0
2025-10-21,4353.87,4375.4,4080.66,4124.85,118560,5,0
2025-10-22,4125.17,4161.26,4004.22,4098.33,120342,5,0
2025-10-23,4096.07,4154.66,4066.19,4125.93,102798,5,0
2025-10-24,4129.66,4144.14,4044.04,4112.21,105279,5,0
2025-10-27,4079.8,4109.23,3971.49,3981.02,120825,5,0
2025-10-28,3985.95,4019.75,3886.62,3952.61,114691,5,0
2025-10-29,3953.09,4030.22,3916.15,3930.07,119550,5,0
2025-10-30,3927.13,4027.32,3915.08,4024.23,113228,5,0
2025-10-31,4021.05,4046.34,3972.58,4002.14,110298,5,0
2025-11-03,3989.66,4030.74,3962.74,4001.21,107348,5,0
2025-11-04,4001.56,4005.77,3928.9,3931.85,108869,5,0
2025-11-05,3934.14,3990.32,3929.03,3978.99,100934,5,0
2025-11-06,3980.03,4019.55,3964.71,3976.88,102453,5,0
2025-11-07,3976.1,4027.79,3974.49,4000.79,100829,5,0
2025-11-10,3999.57,4116.69,3997.76,4115.73,116896,5,0
2025-11-11,4115.49,4148.7,4097.16,4126.55,98902,5,0
2025-11-12,4127.42,4211.86,4099.01,4195.27,121772,5,0
2025-11-13,4196.43,4245.39,4145.36,4171.21,127187,5,0
2025-11-14,4171.79,4211.15,4032.39,4085.05,110721,5,0
2025-11-17,4081.47,4106.7,4006.99,4045.47,126171,5,0
2025-11-18,4048.89,4082.06,3998.36,4067.24,122178,5,0
2025-11-19,4067.96,4132.46,4055.51,4077.71,106749,5,0
2025-11-20,4079.9,4110.44,4038.55,4077.15,111658,5,0
2025-11-21,4074.64,4101.25,4022.61,4065.21,113511,5,0
2025-11-24,4069.36,4139.97,4039.89,4134.57,110627,5,0
2025-11-25,4135.3,4159.28,4109.01,4130.59,104915,5,0
2025-11-26,4134.09,4173.45,4129.74,4163.65,104657,5,0
2025-11-27,4163.05,4168.86,4142.58,4155.27,81887,5,0
2025-11-28,4158.28,4226.62,4153.9,4219.09,67318,5,0
